place_id,name,rating,type,htm,latitude,longitude,description
13,Sindu Kusuma Edupark (SKE),4.2,Buatan,20000,-77.672.973,1.103.542.486,sindu kusuma edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di jogjakarta destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang wahana wahana seperti kora kora bianglala waterpark dan light festival menjadi wahana terfavorit bagi para wisatawan selain itu tersedia juga restoran berkonsep industrial fun cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga semua transaksi di sindu kusuma edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket jadi tidak repot lagi mengeluarkan uang tunai selain wahana permainan di ske ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto
14,Tugu,4.8,Budaya Dan Sejarah,0,-77.828.822,1.103.670.514,tugu ini sekarang merupakan salah satu objek pariwisata yogyakarta dan sering dikenal dengan istilah “tugu pal putih” pal juga berarti tugu karena warna cat yang digunakan sejak dulu adalah warna putih tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya jika dilihat dari keraton yogyakarta ke arah utara maka akan terlihat bahwa jalan malioboro jalan margo utomo tugu yogyakarta dan jalan a m sangadji membentuk garis lurus menuju puncak gunung merapi yang dikenal sebagai garis imajiner yogyakarta
15,Heha Sky View,4.4,Buatan,10000,-7.848.530.311,1.104.787.102,salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota yogyakarta dan sekitarnya “dari lantai ” terletak di kawasan perbukitan gunungkidul heha sky view hanya berjarak menit dari pusat kota yogyakarta sky ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba disini terdapat street food yang beraneka ragam dan dapat dinikmati sembari duduk dan mengobrol di bean bag ataupun outdoor area banyak spot foto keren
16,Pantai Goa Cemara,4.3,Pantai,4000,-7.999.423,110.248.963,adalah kawasan wisata terpadu satu pintu dengan pembagian area yang jelas public area memang seperti diutamakan di pantai ini jajaran pedagang lokal berpadu dengan ramainya pasar tradisional dengan area cakupan luas meliputi wilayah konservasi penyu hijau wilayah lahan pertanian daerah wisata dan pelestarian hutan cemara pasar tradisional wisata pantai outbond camping ground ruang pertemuan atv jip wisata offroad gumukpasir kuliner dan cinderamata dengan dukungan fasilitas publik yang lengkap dan terus berkembang fasilitas publik seperti mck kantor sekretariat kantor keamanan posko sar rumah ibadah pos kesehatan juga tersedia
17,XT Square,4.3,Buatan,25000,-78.165.658,1.103.866.908,xt square merupakan kawasan yang dibangun dengan konsep terpadu yang ditawarkan kepada masyarakat dalam satu paket pusat wisata belanja yakni what to see what to eat dan what to buy didesain sebagai ruang publik dengan konsep citywalk didukung dengan area kuliner serta area pertunjukan seni semakin menunjang aktifitas wisata belanja yang nyaman dan menyenangkan xt square dibangun untuk kepuasan pengunjung
18,Kaliadem,4.5,Alam,3000,-7.582.047.728,1.104.476.387,bunker kaliadaem merupakan tempat untuk berlindung dari ganasnya gunung merapi tempat ini menyimpan banyak jejak ganasnya gunung merapi di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal cm ruangan bungker yang masih memiliki sisa sisa material merapi dan bagian atas yang dilapisi batu serta pasir vulkanis
19,Monumen Yogya Kembali,4.5,Museum,15000,-77.495.904,1.103.696.068,museum monumen jogja kembali adalah sebuah museum budaya dan sejarah perjuangan kemerdekaan republik indonesia yang ada di kota yogyakarta dan dikelola oleh departemen kebudayaan dan pariwisata museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata museum monumen dengan bentuk kerucut ini terdiri dari lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna pada rana pintu masuk dituliskan sejumlah nama pahlawan yang gugur di daerah wehrkreise iii ris antara tanggal desember sampai dengan juni dalam ruang museum di lantai terdapat benda benda koleksi realia replika foto dokumen heraldika berbagai jenis senjata bentuk evokatif dapur umum dalam suasana perang kemerdekaan tandu dan dokar kereta kuda yang pernah dipergunakan oleh panglima besar jenderal soedirman juga disimpan di sini di ruang museum nomor monumen jogja kembali beralamat di jalan raya ring road utara sleman yogyakarta
20,Ratu Boko,4.6,Budaya Dan Sejarah,40000,-77.705.416,1.104.894.158,istana ratu boko adalah sebuah bangunan megah yang dibangun pada masa pemerintahan rakai panangkaran salah satu keturunan wangsa syailendra istana yang awalnya bernama abhayagiri vihara berarti biara di bukit yang penuh kedamaian ini didirikan untuk tempat menyepi dan memfokuskan diri pada kehidupan spiritual berada di istana ini anda bisa merasakan kedamaian sekaligus melihat pemandangan kota yogyakarta dan candi prambanan dengan latar gunung merapi
21,Depok Beach,4.3,Pantai,10000,-80.137.087,1.102.914.777,pantai depok yang letaknya hanya km dari parangtritis ini memang terkenal di kalangan wisatawan lokal selain karena keindahan pantainya wisata pantai yogyakarta yang satu ini juga terkenal dengan aneka menu seafood yang rasanya mampu menggoyang lidah tidak heran hampir seluruh warga yang tinggal di sekitar pantai ini berprofesi sebagai nelayan itulah kenapa hidangan laut yang diolah di tempat ini sangat istimewa sebab memang semua ikan dan seafood yang ada di sini memang masih segar ketika diolah
22,Central Museum of the Air Force Dirgantara Mandala,4.5,Museum,3000,-77.899.338,1.104.156.788,museum pusat tni au “dirgantara mandala” adalah museum yang digagas oleh tni angkatan udara untuk mengabadikan peristiwa berbudaya dan sejarah dalam lingkungan tni au bermarkas di kompleks pangkalan udara adi sutjipto yogyakarta museum ini sebelumnya berada berada di jalan tanah abang bukit jakarta dan diresmikan pada april oleh panglima au laksamana roesmin noerjadin lalu dipindahkan ke yogyakarta pada juli
23,Masjid Gedhe Kauman,4.8,Budaya Dan Sejarah,10000,-7.802.697.521,1.103.625.956,masjid gedhe kauman dibangun oleh sri sultan hamengku buwono i bersama kyai faqih ibrahim diponingrat penghulu kraton pertama dan kyai wiryokusumo sebagai arsiteknya masjid ini dibangun pada hari ahad wage mei m atau rabi ulakhir h masjid gedhe kauman merupakan tempat untuk beribadah namun masjid ini juga menjadi tempat wisata yang cukup terkenal meskipun demikian fungsi utama masjid sebagai tempat ibadah masih terjaga dengan sangat baik lengkap dengan semua fasilitas yang diperlukan
24,Bukit Paralayang Watugupit,4.7,Alam,5000,-8.026.589.501,1.103.458.478,seperti namanya bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang para profesional banyak yang berlatih di sini bahkan orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi
25,Pantai Drini,4.5,Pantai,10000,-81.384.509,110.577.522,pantai drini merupakan salah satu pantai di deretan pantai selatan gunungkidul yang banyak direkomendasikan pantai ini dijuluki sebagai ‘pantai perawan’ karena kondisi pantai ini masih bersih dengan suasana yang masih alami udara tempat wisata ini sejuk aliran airnya tenang dan pasir putihnya begitu mempesona
26,Pantai Parangtritis,4.5,Pantai,6000,-8.024.608,1.103.298.045,pantai parangtritis merupakan salah satu ikon di kabupaten bantul pantai ini memiliki pasir hitam di pantai ini dapat bermain atv menaiki kuda di sisi utara timur pantai dapat menemukan bukit kecil yang sangat cocok untuk menikmati pemandangan sore hari ditemani angin pantai ini memiliki cerita misteri di dalamnya
27,Embung Tambakboyo,4.4,Buatan,2000,-7.756.227,1.104.150.131,waduk tambakboyo kabupaten sleman daerah istimewa yogyakarta ini dibangun pada tahun dan selesai tahun pembangunan yang memakan waktu lima tahun ini memang sudah diperhitungkan dengan matang pada mulanya embung atau waduk ini dibangun sebagai tempat penampungan air untuk cadangan warga sleman namun seiring dengan berjalannya waktu embung tambakboyo menjadi salah satu wisata alam gratis yang banyak peminatnya
28,Lava Merapi and Alien Stone,4.5,Alam,350000,-76.023.375,1.104.552.585,lava tour merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di yogyakarta lava tour merapi adalah istilah untuk tur wisata kawasan terdampak erupsi gunung merapi tahun tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi lava tour merapi ditawarkan sebagai aneka pilihan paket wisata paket paket ini dibanderol dengan harga yang beragam setiap paket sudah termasuk tiket masuk untuk sejumlah titik pemberhentian paket wisata ini bisa menampung rombongan sehingga cocok untuk dijajal sebagai liburan keluarga atau bersama teman
29,Candi Plaosan,4.6,Budaya Dan Sejarah,3000,-77.407.807,1.105.046.772,candi plaosan terletak di desa bugisan kecamatan prambanan kabupaten klaten kira kira km ke arah timur dari candi sewu candi ini merupakan sebuah kompleks bangunan kuno yang terbagi menjadi dua yaitu kompleks candi plaosan lor lor dalam bahasa jawa berarti utara dan kompleks candi plaosan kidul kidul dalam bahasa jawa berarti selatan pahatan yang terdapat di candi plaosan sangat halus dan rinci mirip dengan yang terdapat di candi borobudur candi sewu dan candi sari candi plaosan yang merupakan candi buddha ini oleh para ahli diperkirakan dibangun pada masa pemerintahan rakai pikatan dari kerajaan mataram hindu yaitu pada awal abad ke m salah satu pakar yang mendukung pendapat itu adalah de casparis yang berpegang pada isi prasasti cri kahulunan m dalam prasasti tersebut dinyatakan bahwa candi plaosan lor dibangun oleh ratu sri kahulunan dengan dukungan suaminya menurut de casparis sri kahulunan adalah gelar pramodhawardani putri raja samarattungga dari wangsa syailendra sang putri yang memeluk agama buddha menikah dengan rakai pikatan dari wangsa sanjaya yang memeluk agama hindu
30,Agro Tourism Bhumi Merapi,4.5,Agrowisata,30000,-76.400.756,1.104.264.098,agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi
31,Wisata Kalibiru,4.4,Alam,10000,-78.057.305,110.127.969,wisata kalibiru terletak pada ketinggian mdpl yang kini telah menjadi hutan wisata nan subur dengan perbukitan yang ditumbuhi oleh berbagai pepohonan seperti cemara jati dan kayu putih tempat wisata ini terletak di pedesaan tak heran jika banyak dijumpai rumah berarsitektur jawa kuno rumah – rumah ini difungsikan sebagai kantor pengelola serta loket tiket masuk setelah itu pengunjung harus melakukan trekking di hutan untuk dapat menuju spot utama di sini telah disediakan jalan setapak sehingga pengunjung tinggal mengikuti arah jalan tersebut di sepanjang perjalanan pengunjung akan menemukan berbagai jenis vegetasi mulai dari semak – semak hingga pepohonan berbatang kayu yang bercabang – cabang selain itu ada juga tanaman anggrek yang seolah bersembunyi di rimbunnya pepohonan
32,De Mata Trick Eye Museum,4.4,Buatan,40000,-78.163.156,1.103.871.442,berawal dari keinginan bahwa indonesia tidak boleh kalah dengan negara lain dalam bidang pariwisata direktur utama pt demata maris indonesia yaitu bapak petrus fx kusuma mendapatkan inspirasi untuk mengadaptasi konsep tempat wisata dari luar negeri agar dapat dibawa ke indonesia bertujuan agar masyarakat di indonesia dapat mengunjungi tempat serupa namun tidak sama yang tetap lekat dengan unsur edukatif inovatif dan entertaining ditawarkan dengan harga tiket masuk yang low cost highly entertaining sehingga memberikan kesempatan terhadap semua kalangan untuk dapat berwisata dengan adanya beberapa tempat wisata yang sudah ada dan yang akan dibangun oleh pt demata maris indonesia tidak hanya merupakan sebuah cita cita dan mimpi yang terwujud namun juga sebuah bisnis yang potensial yang memberikan kesempatan kepada seluruh masyarakat indonesia untuk berwisata dengan harga tiket yang murah
33,Candi Sambisari,4.6,Budaya Dan Sejarah,5000,-7.762.491,1.104.470.374,candi sambisari adalah candi hindu yang berada di purwomartani kalasan sleman daerah istimewa yogyakarta posisinya kira kira berada kilometer km di sebelah timur kota yogyakarta ke arah kota solo lokasi candinya pun cukup unik yaitu terletak kira kira meter lebih rendah dari permukaan tanah di sekitarnya oleh karena itu jika hendak masuk ke dalam kompleks candi kamu harus berjalanan kaki menuruni puluhan anak tangga yang cukup curam sehingga kamu harus berhati hati jika kamu berada di kawasan sekitar candi yang kamu lihat hanyalah atap candi yang sedikit menyembul di permukaan tanah
34,Pantai Wediombo,4.5,Pantai,5000,-81.902.176,1.107.103.772,daya tarik pantai ini terletak di gugusan karangnya sepanjang bibir pantai wedi ombo dihiasi hamparan karang bebatuan ini membuat wedi ombo bagaikan taman karang yang luas selain itu lautnya yang tenang membuat lokasinya cocok untuk bersantai pantai wedi ombo berada di pinggiran teluk pantai ini menghadap ke barat dengan garis pantai nyaris lurus ini membuat angin laut yang menerpa tidak sekencang pantai lainnya sehingga lautnya pun cenderung lebih tenang
35,Pantai Parangkusumo,4.4,Pantai,3000,-8.022.769,110.324.995,pantai parangkusumo merupakan salah satu pantai yang dianggap sakral oleh penduduk setempat masyarakat jogja meyakini adanya hubungan spesial antara keraton jogja dengan nyi roro kidul penguasa pantai selatan dalam tradisi jawa pantai parangkusumo dianggap sebagai gerbang utama atau jalan menuju keraton gaib laut selatan kerajaan nyi roro kidul karena itu tak heran jika pantai parangkusumo kerap menjadi tujuan peziarah saat bulan sura dalam kalender penanggalan jawa begitu pun pada hari hari biasa pengunjung akan meramaikan pantai saat malam selasa kliwon dan jumat kliwon meski kental dengan nuansa mistis dan legenda pantai parangkusumo juga menawarkan pemandangan yang tak kalah indah dari pantai lain di jogja di sini kamu akan melihat tumbuhan sejenis kelapa sawit berjejer di bagian belakang pantai yang menciptakan kesan asri
36,Taman Sungai Mudal,4.6,Alam,10000,-77.628.136,1.101.161.626,taman sungai mudal sebuah objek wisata alam terbuka yang terletak di kabupaten kulon progo yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami mata airnya bersumber dari sebuah goa sehingga kehadiran taman sungai mudal menjadi mengesampingkan kesan angker dari sebuah goa apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana
37,Taman Pelangi Jogja,4.3,Buatan,20000,-77.505.259,1.103.687.049,kalau pelangi biasanya ada di siang hari pasca hujan maka di taman pelangi yogyakarta pengunjung justru bisa menikmatinya setiap malam hari ya ini lantaran taman ini merupakan taman lampion beraneka warna dan rupa pengunjung bisa mengarahkan diri ke deretan lampion yang berbentuk flora dan fauna ada juga lampion berbentuk tokoh kartun disney dan kartun jepang dinosaurus naga serta kehidupan bawah laut yang sangat menarik perhatian terutama anak anak tak meninggalkan budaya dan sejarah ada juga lampion yang berbentuk wajah para tokoh pemimpin bangsa buka sejak petang taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari
38,Situs Warungboto,4.4,Budaya Dan Sejarah,7500,-78.102.685,1.103.931.513,situs warungboto merupakan petilasan yang dibangun pada masa pemerintahan sultan hamengkubuwono i kemudian pembangunannya diteruskan pada masa pemerintahan sultan hamengkubuwono ii dulunya tempat ini khusus dijadikan sebagai tempat pemandian dikarenakan adanya sumber mata air di lokasi tersebut situs warungboto berada di tengah kota jogja tepatnya di umbulharjo objek wisata ini merupakan peninggalan berbudaya dan sejarah yang dulu dibangun oleh keluarga keraton saat ini area situs telah dibersihkan dan direnovasi sehingga dapat dikunjungi wisatawan tentunya tempat ini begitu menarik karena bangunannya yang unik dan instagramable
39,Pantai Cemara Sewu Bantul Yogyakarta,4.4,Pantai,10000,-8.019.114,1.103.145.616,jika anda mencari suasana nyaman dan ketenangan maka pantai ini lah juaranya seperti namanya yang berarti pantai seribu cemara maka begitu anda tiba di area pantai anda akan langsung disambut dengan pohon cemara pohon cemara menjadi ikon penting bagi pantai ini berbeda dengan pantai pantai lain yang akan semakin panas jika hari semakin siang di pantai cemoro sewu suasana teduh akan bisa selalu anda rasakan walaupun matahari sangat menyengat sekalipun gazebo gazebo yang berdiri rapi di antara pepohonan cemara yang rimbun membuat pengunjung semakin betah untuk bersantai di sana apalagi jika semakin sore angin pantai akan semakin semilir menambah sejuk suasana
40,Bukit Klangon,4.5,Alam,5000,-75.768.966,1.104.548.266,di bukit klangon kita akan disuguhkan pemandangan luar biasa dari gunung merapi kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat kita tak perlu mendaki hingga puncaknya karena di bukit klangon ini kita sudah bisa melihat puncak gunung merapi dengan cukup jelas di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic
41,Taman Wisata Kaliurang,4.4,Alam,8000,-7.598.797,11.042.636,taman wisata kaliurang dapat menjadi referensi wisata akhir pekan keluarga pemandangan sekitar sangatlah indah masih banyak pepohonan yang tumbuh tinggi menjulang ditambah lagi pemandangan puncak gunung merapi yang gagah selain itu udara di sekitar pun masih sangat sejuk aroma asap kendaraan bermotor pun tidak tercium di kawasan ini berada di sini membuat paru – paru menjadi lebih sehat banyak wisatawan yang datang bersama keluarga duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga ditambah lagi suasana yang sangat mendukung untuk beramah – tamah selain menyuguhkan pemandangan yang indah taman wisata kaliurang pun memiliki wahana outbound seperti flying fox hingga rumah pohon ridz high rope
42,Jogja National Museum,4.6,Museum,0,-78.001.175,1.103.534.164,bagi para pecinta kesenian tentu tidak akan pernah melewatkan yang namanya tempat atau gedung yang menyimpan berbagai hasil kesenian salah satu gedung kesenian di kawasan yogyakarta yang cukup terkenal adalah jogja national museum letaknya berada di jalan amri yahya yogyakarta ini museum ini sendiri sudah berdiri cukup lama dan menyajikan berbagai karya seni menarik nanapik secara singkat museum ini mempertontonkan aneka karya seni kontemporer yang unik dan berkualitas tinggi bagi anda yang sangat suka atau sedang menempuh studi seputar karya seni kontemporer maka keputusan untuk berkunjung ke tempat ini sangatlah tepat anda akan disambut dengan karya karya seni rupa dari berbagai seniman dan juga dengan kreativitas serta keunikannya masing masing
43,Taman Pintar Yogyakarta,4.5,Buatan,20000,-7.799.757.357,1.103.678.697,taman pintar yogyakarta adalah wahana wisata yang terdapat di pusat kota yogyakarta tepatnya di jalan panembahan senopati no yogyakarta di kawasan benteng vredeburg taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi tempat rekreasi ini sangat baik untuk anak anak dalam masa perkembangan taman ini khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi
44,Pantai Indrayanti,4.4,Pantai,12000,-81.508.415,1.106.129.852,pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar serta beragam restoran pertokoan
45,Mangrove Jembatan Api-Api (MJAA),4.3,Alam,8000,-789.485,1.100.253.631,mangrove jembatan api api di kulon progo ini memadukan konsep alam dan spot instagenik anda bisa bersantai sambil foto foto di sini
46,Embung Nglanggeran,4.5,Buatan,10000,-78.471.399,1.105.468.589,embung nglanggeran merupakan waduk kecil tempat menampung air yang memiliki luas sekitar hektar air embung ini digunakan untuk sarana pengairan di area perkebunan sekitar selain untuk pengairan telaga ini juga dimanfaatkan sebagai obyek wisata itu karena keindahan panorama yang dapat disaksikan dari embung berketinggian sekitar meter di atas permukaan laut ini selain embung telaga tampungan air pemandangan gunung api purba menjadi pesona yang ditawarkan oleh objek wisata tersebut
47,Bukit Wisata Pulepayung,4.5,Alam,10000,-78.001.106,1.101.238.954,pule payung kulon progo yogyakarta merupakan wisata alam dengan spot foto instagramable letaknya tidak jauh dari kalibiru yaitu terletak di kulon progo yogyakarta tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto foto unik karena memiliki banyak spot foto menarik daya tarik yang pertama dari pule payung yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan sehingga orang orang menyebutnya dengan bukit wisata pule payung yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan serta kenyamanan dalam berwisatanya saja namun mampu memberikan rasa aman bagi setiap pengunjungnya daya tarik pule payung yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable
48,Seribu Batu Songgo Langit,4.6,Alam,2500,-7.931.099,110.429.738,disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi salah satunya adalah seribu batu songgo langit namanya terdengar asing namun apabila disebut rumah hobbit tentunya sahabat akan segera tahu tempat wisata ini ya seribu batu songgo langit adalah lokasi dimana terdapat rumah hobbit yang ada di kawasan mangunan rumah hobbit yang dimaksud berbeda dengan yang ada di new zealand pastinya rumah hobbit disini merupakan tiruan dari yang terdapat di film hobbit atau yang ada di new zealand songgo langit berarti penyangga langit hal ini dikarenakan di seribu baru songgo langit terdapat bukit yang seakan akan merupakan tiang dari langit seribu batu songgo langit merupakan tempat wisata di kawasan dlingo yang menawarkan berbagai macam atraksi wisata namun kebanyakan adalah spot foto spot foto di seribu batu hampir semuanya anti mainstream
